Meter Consumption ID,StartDate,TypeOfSeason,StartTimestamp
1457394726-0001-01,7/1/2009,Cooling,0:00:00
1457394726-0002-01,7/1/2009,Cooling,0:15:00
1457394726-0003-01,7/1/2009,Cooling,0:30:00
1457394726-0004-01,7/1/2009,Cooling,0:45:00
1457394726-0005-01,7/1/2009,Cooling,1:00:00
1457394726-0006-01,7/1/2009,Cooling,1:15:00
1457394726-0007-01,7/1/2009,Cooling,1:30:00
1457394726-0008-01,7/1/2009,Cooling,1:45:00
1457394726-0009-01,7/1/2009,Cooling,2:00:00
1457394726-0144-02 ,7/2/2009,Cooling,0:00:00
1457394726-0145-02,7/2/2009,Cooling,0:15:00
1457394726-0146-02 ,7/2/2009,Cooling,0:30:00
1457394726-0147-02 ,7/2/2009,Cooling,0:45:00
1457394726-0148-02 ,7/2/2009,Cooling,1:00:00
1457394726-0149-02 ,7/2/2009,Cooling,1:15:00
1457394726-0150-02,7/2/2009,Cooling,1:30:00
1457394726-0151-02 ,7/2/2009,Cooling,1:45:00
1457394726-0152-02 ,7/2/2009,Cooling,2:00:00
1457394726-0432-02,7/3/2009,Cooling,0:00:00
1457394726-0433-03,7/3/2009,Cooling,0:15:00
1457394726-0434-03,7/3/2009,Cooling,0:30:00
1457394726-0435-03,7/3/2009,Cooling,0:45:00
1457394726-0436-03,7/3/2009,Cooling,1:00:00
1457394726-0437-03,7/3/2009,Cooling,1:15:00
1457394726-0438-03,7/3/2009,Cooling,1:30:00
1457394726-0439-03,7/3/2009,Cooling,1:45:00
1457394726-0440-03,7/3/2009,Cooling,2:00:00
1457394726-0576-04,7/4/2009,Cooling,0:00:00
1457394726-0577-04,7/4/2009,Cooling,0:15:00
1457394726-0578-04,7/4/2009,Cooling,0:30:00
1457394726-0579-04,7/4/2009,Cooling,0:45:00
1457394726-0580-04,7/4/2009,Cooling,1:00:00
1457394726-0581-04,7/4/2009,Cooling,1:15:00
1457394726-0582-04,7/4/2009,Cooling,1:30:00
1457394726-0583-04,7/4/2009,Cooling,1:45:00
1457394726-0584-04,7/4/2009,Cooling,2:00:00
1457394726-0720-05,7/5/2009,Cooling,0:00:00
1457394726-0721-05,7/5/2009,Cooling,0:15:00
1457394726-0722-05,7/5/2009,Cooling,0:30:00
1457394726-0723-05,7/5/2009,Cooling,0:45:00
1457394726-0724-05,7/5/2009,Cooling,1:00:00
1457394726-0725-05,7/5/2009,Cooling,1:15:00
1457394726-0726-05,7/5/2009,Cooling,1:30:00
1457394726-0727-05,7/5/2009,Cooling,1:45:00
1457394726-0728-05,7/5/2009,Cooling,2:00:00
1457394726-0864-06,7/6/2009,Cooling,0:00:00
1457394726-0865-06,7/6/2009,Cooling,0:15:00
1457394726-0866-06,7/6/2009,Cooling,0:30:00
